                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5334,                 3.8166,                 1.8146,                0.01613,                0.04762,                0.02645,                0.00915,                 2.5399,                 4.1609,                 1.8436,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.5196,                 3.8043,                 1.7898,                 0.0146,                0.04762,                0.02562,                0.00912,                 2.5421,                  4.214,                 1.8401,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                 2.5742,                 3.8033,                 1.7895,                0.04289,                0.11111,                 0.0542,                0.01835,                 2.4519,                 3.5648,                 1.7848,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                 2.3229,                  2.505,                 1.6346,                0.34583,                0.42868,                0.34809,                0.15794,                 2.1872,                  2.055,                 1.6366,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                 2.1662,                 1.8683,                 1.4852,                0.44894,                    0.5,                0.43174,                 0.1964,                 2.0351,                 1.9116,                 1.4847,             0.00012352,             0.00012352,             0.00012352
                      6,                 2.0777,                 1.5892,                 1.3872,                0.42484,                0.53968,                0.44962,                0.21562,                 2.0055,                 1.9566,                 1.4173,             0.00014941,             0.00014941,             0.00014941
                      7,                  2.089,                 1.4832,                 1.3582,                0.41828,                0.62698,                0.47645,                0.22514,                 1.9355,                 1.9495,                  1.389,             0.00017474,             0.00017474,             0.00017474
                      8,                 1.9337,                 1.3812,                 1.3529,                0.50479,                0.68589,                0.50325,                0.24958,                 1.9005,                 2.6111,                  1.371,              0.0001995,              0.0001995,              0.0001995
                      9,                 1.8794,                  1.248,                 1.2844,                0.61218,                0.65916,                0.58932,                0.27519,                 1.9264,                 2.6309,                 1.3816,             0.00022369,             0.00022369,             0.00022369
                     10,                 1.8578,                 1.3393,                 1.3008,                0.61609,                0.61905,                0.60088,                0.28019,                  1.922,                 2.3492,                 1.3771,             0.00024732,             0.00024732,             0.00024732
                     11,                 1.7968,                 1.2056,                 1.2524,                0.65241,                0.66667,                0.62457,                0.28158,                 1.9382,                 2.1825,                 1.3649,             0.00027038,             0.00027038,             0.00027038
                     12,                 1.7753,                 1.1662,                 1.2929,                0.65764,                0.69583,                0.67389,                0.29876,                  1.932,                 2.1168,                 1.3432,             0.00029288,             0.00029288,             0.00029288
                     13,                 1.7001,                 1.1086,                 1.2416,                0.70971,                0.66667,                0.69795,                0.31766,                 1.9165,                 1.8626,                 1.3405,             0.00031481,             0.00031481,             0.00031481
                     14,                 1.7144,                 1.1342,                 1.2537,                0.63237,                 0.6877,                0.66657,                0.31218,                 1.8697,                 1.5589,                  1.308,             0.00033617,             0.00033617,             0.00033617
                     15,                 1.6764,                 1.0921,                 1.2258,                0.64996,                0.72681,                0.67107,                0.31001,                 1.8602,                 1.7032,                  1.297,             0.00035697,             0.00035697,             0.00035697
                     16,                 1.6521,                 1.0087,                  1.183,                0.71207,                0.66667,                0.68978,                0.31927,                 1.8485,                 1.8615,                 1.3111,             0.00037721,             0.00037721,             0.00037721
                     17,                 1.6658,                 1.0949,                 1.2537,                0.71139,                0.73202,                0.70664,                0.31434,                 1.9314,                 1.8129,                 1.3447,             0.00039687,             0.00039687,             0.00039687
                     18,                 1.6443,                0.96654,                 1.1736,                0.73954,                 0.7381,                0.71007,                 0.3131,                 1.9571,                 1.5631,                 1.3336,             0.00041597,             0.00041597,             0.00041597
                     19,                 1.6493,                0.95515,                   1.15,                0.74896,                0.73505,                 0.7142,                0.30704,                 1.9259,                 1.6638,                 1.3322,             0.00043451,             0.00043451,             0.00043451
                     20,                 1.5798,                0.95201,                 1.1804,                0.75564,                0.71927,                0.71678,                0.31051,                 1.8914,                 1.5191,                  1.328,             0.00045248,             0.00045248,             0.00045248
                     21,                 1.6026,                0.90988,                 1.1356,                0.71398,                0.75058,                0.70923,                0.31739,                 1.8996,                 1.4419,                 1.3431,             0.00046988,             0.00046988,             0.00046988
                     22,                 1.5611,                0.91986,                 1.1781,                0.75075,                0.76736,                0.75208,                0.34429,                 1.9129,                 1.4654,                 1.3555,             0.00048672,             0.00048672,             0.00048672
                     23,                 1.5725,                0.90997,                 1.1696,                0.74739,                0.76984,                0.75972,                0.34177,                 1.9681,                 1.4297,                  1.381,             0.00050299,             0.00050299,             0.00050299
                     24,                 1.5236,                0.84623,                 1.1196,                0.70519,                0.79028,                0.75395,                0.33505,                  1.941,                 1.4525,                 1.3735,              0.0005187,              0.0005187,              0.0005187
                     25,                 1.5333,                0.88971,                 1.1541,                0.72928,                0.71429,                0.70761,                0.30362,                 1.9601,                 1.4485,                 1.3787,             0.00053384,             0.00053384,             0.00053384
                     26,                  1.441,                0.81424,                 1.0661,                0.65189,                0.69048,                0.67938,                0.29355,                 1.9916,                 1.3097,                 1.3754,             0.00054841,             0.00054841,             0.00054841
                     27,                 1.4419,                0.82551,                 1.1029,                0.67455,                0.74015,                0.71503,                0.30173,                 1.9998,                 1.2967,                 1.3557,             0.00056242,             0.00056242,             0.00056242
                     28,                 1.4597,                0.80121,                 1.0918,                0.67455,                0.74015,                0.71503,                0.30173,                 1.9998,                 1.2967,                 1.3557,             0.00057587,             0.00057587,             0.00057587
                     29,                 1.4118,                0.78088,                 1.0993,                0.73873,                 0.7619,                 0.7529,                0.30958,                 2.0312,                 1.2373,                 1.3624,             0.00058874,             0.00058874,             0.00058874
                     30,                 1.3822,                0.77956,                 1.0966,                0.78457,                0.71387,                0.75194,                0.33354,                 1.9632,                 1.2226,                 1.3315,             0.00060105,             0.00060105,             0.00060105
                     31,                 1.3652,                 0.7663,                 1.0928,                0.78457,                0.71387,                0.75194,                0.33354,                 1.9632,                 1.2226,                 1.3315,              0.0006128,              0.0006128,              0.0006128
                     32,                 1.3108,                0.72245,                 1.0551,                0.74931,                 0.7381,                0.73637,                0.32785,                   1.98,                 1.2793,                  1.353,             0.00062398,             0.00062398,             0.00062398
                     33,                 1.3554,                0.74841,                  1.068,                0.72135,                0.70743,                0.72741,                0.33249,                 1.9796,                 1.1512,                 1.3688,             0.00063459,             0.00063459,             0.00063459
                     34,                 1.3455,                0.74448,                 1.0787,                0.72135,                0.70743,                0.72741,                0.33249,                 1.9796,                 1.1512,                 1.3688,             0.00064464,             0.00064464,             0.00064464
                     35,                 1.3255,                0.71751,                 1.0291,                0.73858,                0.70635,                0.69953,                0.32607,                 1.9399,                  1.241,                 1.3788,             0.00065412,             0.00065412,             0.00065412
                     36,                 1.3065,                0.71225,                 1.0716,                0.72401,                 0.7381,                0.68756,                 0.3132,                 1.9404,                 1.3334,                 1.3765,             0.00066303,             0.00066303,             0.00066303
                     37,                 1.2857,                0.68626,                 1.0183,                0.72401,                 0.7381,                0.68756,                 0.3132,                 1.9404,                 1.3334,                 1.3765,             0.00067138,             0.00067138,             0.00067138
                     38,                 1.3162,                 0.7286,                 1.0695,                0.71149,                0.72222,                0.70312,                0.31705,                 1.9687,                 1.3663,                 1.4079,             0.00067917,             0.00067917,             0.00067917
                     39,                 1.2781,                 0.7089,                 1.0387,                 0.7272,                0.71429,                 0.7022,                0.32119,                 1.9512,                 1.2328,                 1.3989,             0.00068639,             0.00068639,             0.00068639
                     40,                 1.1951,                0.67629,                0.98476,                 0.7272,                0.71429,                 0.7022,                0.32119,                 1.9512,                 1.2328,                 1.3989,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.2983,                0.71246,                 1.0413,                0.77205,                 0.7007,                0.73598,                0.32568,                 1.9353,                 1.2353,                 1.3743,             0.00069912,             0.00069912,             0.00069912
                     42,                 1.2405,                0.66935,                 1.0218,                0.77532,                0.70635,                0.76755,                0.35306,                 1.9411,                 1.1672,                 1.3835,             0.00070464,             0.00070464,             0.00070464
                     43,                 1.2173,                0.64971,                 1.0059,                0.77532,                0.70635,                0.76755,                0.35306,                 1.9411,                 1.1672,                 1.3835,              0.0007096,              0.0007096,              0.0007096
                     44,                 1.2354,                0.65243,                  1.021,                0.76983,                0.77726,                 0.7902,                0.34003,                 1.9952,                 1.1448,                 1.4041,             0.00071399,             0.00071399,             0.00071399
                     45,                 1.2009,                0.66579,                  1.031,                0.76983,                0.77726,                 0.7902,                0.34003,                 1.9952,                 1.1448,                 1.4041,             0.00071781,             0.00071781,             0.00071781
                     46,                 1.1659,                0.63663,                 1.0044,                0.68103,                0.73511,                0.69266,                0.31485,                 2.0694,                 1.1337,                 1.4702,             0.00072107,             0.00072107,             0.00072107
                     47,                 1.1307,                0.62197,                0.98593,                0.68103,                0.73511,                0.69266,                0.31485,                 2.0694,                 1.1337,                 1.4702,             0.00072376,             0.00072376,             0.00072376
                     48,                 1.2275,                0.64591,                 1.0201,                  0.761,                0.68305,                 0.7266,                0.31768,                 2.1012,                 1.1743,                 1.4771,             0.00072588,             0.00072588,             0.00072588
                     49,                 1.1895,                0.63583,                0.99902,                  0.761,                0.68305,                 0.7266,                0.31768,                 2.1012,                 1.1743,                 1.4771,             0.00072744,             0.00072744,             0.00072744
                     50,                 1.1217,                0.60818,                0.97717,                 0.7243,                0.74761,                0.73347,                0.31854,                 2.0992,                   1.18,                 1.4463,             0.00072843,             0.00072843,             0.00072843
                     51,                 1.1813,                0.63951,                 1.0107,                 0.7243,                0.74761,                0.73347,                0.31854,                 2.0992,                   1.18,                 1.4463,             0.00072164,             0.00072164,             0.00072164
                     52,                   1.14,                0.62934,                0.99441,                0.81897,                0.75397,                0.78368,                0.33388,                 2.0264,                 1.0234,                 1.3988,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0589,                0.59885,                0.95519,                0.81897,                0.75397,                0.78368,                0.33388,                 2.0264,                 1.0234,                 1.3988,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0545,                0.60278,                0.96364,                0.73602,                 0.7619,                0.75787,                0.35523,                 1.9691,                0.97517,                 1.3858,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1206,                0.60107,                0.98967,                0.73602,                 0.7619,                0.75787,                0.35523,                 1.9691,                0.97517,                 1.3858,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0656,                0.58397,                0.96954,                0.72915,                 0.7412,                0.73477,                0.33372,                 1.9692,                0.98841,                 1.4035,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0155,                0.55357,                0.93039,                0.72915,                 0.7412,                0.73477,                0.33372,                 1.9692,                0.98841,                 1.4035,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0457,                0.57875,                0.97819,                0.82987,                0.72222,                0.76091,                0.33011,                 2.0564,                 1.0197,                 1.4407,             0.00062262,             0.00062262,             0.00062262
                     59,                0.97725,                0.54754,                0.94655,                0.82987,                0.72222,                0.76091,                0.33011,                 2.0564,                 1.0197,                 1.4407,             0.00060847,             0.00060847,             0.00060847
                     60,                0.98517,                0.54672,                0.94448,                0.77967,                0.76569,                0.76862,                0.34381,                 2.0227,                 1.0053,                 1.3991,             0.00059432,             0.00059432,             0.00059432
                     61,                0.97605,                0.53507,                 0.9283,                0.77967,                0.76569,                0.76862,                0.34381,                 2.0227,                 1.0053,                 1.3991,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.0174,                0.55827,                0.94783,                0.74218,                0.80879,                0.77613,                 0.3496,                 1.9724,                 1.0292,                 1.3876,             0.00056603,             0.00056603,             0.00056603
                     63,                0.97236,                0.53433,                 0.9292,                0.74218,                0.80879,                0.77613,                 0.3496,                 1.9724,                 1.0292,                 1.3876,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0055,                0.54991,                0.94691,                0.80761,                0.69841,                0.76624,                  0.363,                 1.9209,                 1.0085,                 1.3658,             0.00053773,             0.00053773,             0.00053773
                     65,                  1.012,                0.54749,                0.94451,                0.80761,                0.69841,                0.76624,                  0.363,                 1.9209,                 1.0085,                 1.3658,             0.00052359,             0.00052359,             0.00052359
                     66,                  0.966,                 0.5313,                0.92821,                0.77556,                0.77778,                0.77021,                0.35613,                  1.943,                0.99776,                 1.3615,             0.00050944,             0.00050944,             0.00050944
                     67,                0.91949,                0.52123,                0.92369,                0.77556,                0.77778,                0.77021,                0.35613,                  1.943,                0.99776,                 1.3615,             0.00049529,             0.00049529,             0.00049529
                     68,                0.90056,                0.51981,                0.91375,                0.80886,                0.74826,                 0.7671,                 0.3567,                 1.9444,                0.99329,                 1.3642,             0.00048114,             0.00048114,             0.00048114
                     69,                0.88927,                0.50155,                0.89891,                0.80886,                0.74826,                 0.7671,                 0.3567,                 1.9444,                0.99329,                 1.3642,               0.000467,               0.000467,               0.000467
                     70,                0.95828,                 0.5257,                0.95053,                0.73881,                0.76503,                0.73921,                0.36563,                 1.9293,                0.99305,                 1.3878,             0.00045285,             0.00045285,             0.00045285
                     71,                0.92012,                0.51304,                0.90815,                0.73881,                0.76503,                0.73921,                0.36563,                 1.9293,                0.99305,                 1.3878,              0.0004387,              0.0004387,              0.0004387
                     72,                0.88239,                0.50807,                0.91295,                0.76164,                0.77438,                0.76469,                0.36798,                 1.8901,                0.95108,                 1.3765,             0.00042456,             0.00042456,             0.00042456
                     73,                0.90173,                0.50381,                0.90249,                0.76164,                0.77438,                0.76469,                0.36798,                 1.8901,                0.95108,                 1.3765,             0.00041041,             0.00041041,             0.00041041
                     74,                0.90686,                0.51086,                 0.9239,                0.79355,                0.78547,                0.76813,                0.36077,                 1.9337,                0.94129,                 1.4127,             0.00039626,             0.00039626,             0.00039626
                     75,                0.85058,                0.48342,                0.89832,                0.79355,                0.78547,                0.76813,                0.36077,                 1.9337,                0.94129,                 1.4127,             0.00038211,             0.00038211,             0.00038211
                     76,                0.88493,                0.49437,                0.91102,                0.80715,                0.76506,                0.77614,                0.35924,                 1.9202,                0.92048,                 1.4025,             0.00036797,             0.00036797,             0.00036797
                     77,                0.82918,                0.47798,                 0.8897,                0.80715,                0.76506,                0.77614,                0.35924,                 1.9202,                0.92048,                 1.4025,             0.00035382,             0.00035382,             0.00035382
                     78,                0.83391,                0.48636,                 0.9122,                 0.8262,                0.77013,                0.76899,                0.36229,                 1.9269,                0.94544,                 1.4003,             0.00033967,             0.00033967,             0.00033967
                     79,                0.79112,                0.46278,                0.89873,                 0.8262,                0.77013,                0.76899,                0.36229,                 1.9269,                0.94544,                 1.4003,             0.00032553,             0.00032553,             0.00032553
                     80,                0.83944,                0.48343,                0.89947,                0.84745,                0.77778,                0.79857,                0.35956,                 1.9481,                0.97519,                 1.4186,             0.00031138,             0.00031138,             0.00031138
                     81,                0.80611,                0.46755,                0.87964,                0.84745,                0.77778,                0.79857,                0.35956,                 1.9481,                0.97519,                 1.4186,             0.00029723,             0.00029723,             0.00029723
                     82,                 0.8342,                0.47735,                0.89921,                0.81074,                0.75397,                0.75632,                0.35172,                 1.9349,                 0.9678,                 1.4022,             0.00028308,             0.00028308,             0.00028308
                     83,                0.78445,                0.45675,                0.89034,                0.81074,                0.75397,                0.75632,                0.35172,                 1.9349,                 0.9678,                 1.4022,             0.00026894,             0.00026894,             0.00026894
                     84,                0.80046,                0.46601,                0.88893,                0.77173,                 0.7381,                0.71806,                0.33785,                  1.983,                0.96027,                 1.4118,             0.00025479,             0.00025479,             0.00025479
                     85,                0.82302,                 0.4899,                0.92965,                0.77173,                 0.7381,                0.71806,                0.33785,                  1.983,                0.96027,                 1.4118,             0.00024064,             0.00024064,             0.00024064
                     86,                0.77383,                0.45127,                0.88809,                0.76129,                0.72791,                0.70362,                0.34571,                  1.979,                0.93974,                 1.4109,              0.0002265,              0.0002265,              0.0002265
                     87,                0.79487,                0.46819,                 0.8728,                0.76129,                0.72791,                0.70362,                0.34571,                  1.979,                0.93974,                 1.4109,             0.00021235,             0.00021235,             0.00021235
                     88,                0.79647,                 0.4581,                0.86833,                0.79929,                0.75346,                0.74732,                0.36274,                 1.9526,                0.91273,                 1.4076,              0.0001982,              0.0001982,              0.0001982
                     89,                0.76988,                0.45554,                0.90666,                0.79929,                0.75346,                0.74732,                0.36274,                 1.9526,                0.91273,                 1.4076,             0.00018406,             0.00018406,             0.00018406
                     90,                0.77662,                0.45317,                0.89776,                0.81899,                 0.7381,                0.73797,                0.35681,                 1.9486,                0.90619,                  1.414,             0.00016991,             0.00016991,             0.00016991
                     91,                0.69303,                0.41253,                0.85783,                0.81899,                 0.7381,                0.73797,                0.35681,                 1.9486,                0.90619,                  1.414,             0.00015576,             0.00015576,             0.00015576
                     92,                0.76287,                 0.4425,                0.86113,                0.78682,                0.72576,                0.71808,                0.35451,                 1.9651,                0.90762,                  1.419,             0.00014161,             0.00014161,             0.00014161
                     93,                0.66028,                0.39948,                0.84589,                0.78682,                0.72576,                0.71808,                0.35451,                 1.9651,                0.90762,                  1.419,             0.00012747,             0.00012747,             0.00012747
                     94,                0.71256,                 0.4169,                0.88744,                0.79017,                0.73244,                0.73667,                0.34537,                 1.9947,                0.92083,                 1.4191,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.6557,                 0.3963,                0.85344,                0.79017,                0.73244,                0.73667,                0.34537,                 1.9947,                0.92083,                 1.4191,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.69911,                0.40312,                0.85423,                0.78178,                 0.7452,                0.72055,                 0.3405,                 2.0004,                0.91384,                 1.4255,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.6833,                0.40749,                0.87305,                0.78178,                 0.7452,                0.72055,                 0.3405,                 2.0004,                0.91384,                 1.4255,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.6608,                0.39613,                0.85688,                0.79111,                0.75432,                0.73664,                0.35413,                 1.9839,                0.90102,                 1.4223,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.63114,                0.38779,                0.85103,                0.79111,                0.75432,                0.73664,                0.35413,                 1.9839,                0.90102,                 1.4223,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.70025,                0.40782,                 0.8693,                0.78815,                0.75456,                0.73461,                0.35402,                 1.9704,                0.89817,                 1.4246,             2.8437e-05,             2.8437e-05,             2.8437e-05
