Height,Width,Weight,Predicted_Weight_g,Residuals
31,4,189,166.6447269,22.35527309
33,4,136,169.2708091,-33.27080906
28,4,188,162.7056037,25.29439631
38,3.5,178,163.3162914,14.68370857
31,3,167,141.6052809,25.39471909
36,4,197,173.2099323,23.79006772
32,4,201,167.957768,33.04223202
32,4,172,167.957768,4.042232015
36,4,157,173.2099323,-16.20993228
41,3.5,169,167.2554147,1.744585349
29,4,152,164.0186448,-12.01864476
24,4,200,157.4534394,42.54656061
26,3,114,135.0400755,-21.04007555
35,4,153,171.8968912,-18.89689121
47,4,174,187.6533841,-13.65338409
24,3.5,114,144.9337164,-30.9337164
31,4,136,166.6447269,-30.64472691
41,3,109,154.7356917,-45.73569165
29,4,193,164.0186448,28.98135524
37,3.5,153,162.0032504,-9.003250356
12,4,129,141.6969465,-12.69694651
4,3,125,106.1531719,18.84682808
25,3,107,133.7270345,-26.72703447
27,4,109,161.3925626,-52.39256262
21,4,97,153.5143162,-56.51431617
38,4,139,175.8360144,-36.83601443
39,4,208,177.1490555,30.8509445
32,3.5,142,155.438045,-13.43804499
35,4,172,171.8968912,0.103108794
39,3.5,166,164.6293325,1.370667497
