image_name,pixels_estimations_of_heights_object,actual_estimations_of_heights_object,height_using_formula_sum,height_using_formula_firstbox,height_using_fixed_pixels
1.jpg,310.7096,31,25.81366619,29.04942927,44.79998808
1.jpg,443.87115,,36.87669134,41.49921321,64.00002697
1.jpg,322.6987,,26.8097177,30.17033661,46.52864976
1.jpg,297.58368,,24.7231688,27.82223719,42.90741421
1.jpg,264.60535,,21.98333817,24.73896666,38.15239882
1.jpg,352.96448,,29.32419003,33,50.89255258
1.jpg,323.94983,,26.91366116,30.28730946,46.70904513
1.jpg,389.83948,,32.38775472,36.44758489,56.20941304
2.jpg,272.7053,,21.4706907,33.17563097,39.32029788
2.jpg,271.2616,,21.3570254,33,39.1121372
2.jpg,329.77438,,25.96386651,40.118302,47.5488646
2.jpg,267.96826,,21.09773385,32.59935334,38.63728425
2.jpg,253.53442,,19.96132588,30.84342232,36.55612623
2.jpg,344.07843,,27.09005573,41.85844342,49.61130854
2.jpg,309.58704,,24.374472,37.66243478,44.63813079
3.jpg,161.52747,,15.92694771,44.07224177,23.2900067
3.jpg,279.55365,,27.56457759,76.27530082,40.30773557
3.jpg,309.72595,,30.53963003,84.50771499,44.65816054
3.jpg,286.65662,,28.264945,78.21332199,41.3318842
3.jpg,365.07898,,35.99755489,99.61060781,52.63929472
3.jpg,226.32715,,22.31633265,61.75262364,32.63321675
3.jpg,120.94702,,11.92563059,33,17.43887287
4.jpg,383.51074,,30.08903249,36.20081395,55.29689771
4.jpg,399.52084,,31.3451341,37.71205897,57.60533092
4.jpg,231.44458,,18.15840529,21.84679922,33.37107899
4.jpg,262.87122,,20.62403913,24.81326057,37.90236135
4.jpg,434.16486,,34.06319308,40.98221887,62.60051411
4.jpg,349.60138,,27.42861179,33,50.40764075
4.jpg,382.9926,,30.04838186,36.15190623,55.22219096
4.jpg,281.60596,,22.09390731,26.58169312,40.60364962
